min;id;players;totalRemainingTokens;totalUsedTokens;totalIdeas;totalItems;totalComments;totalIdeasWithBets;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;persuasionGraph;tokenGraph;commentGraph
6;10;14;116;24;11;4;13;0;10;7;3;0;0;2;1;19;0;0;0;0;0.0;0.0;0.0;0.0;14.0;14.0;14.0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
6;11;14;116;24;11;4;13;0;11;9;1;0;0;1;1;39;0;0;0;0;0.0;0.0;0.0;0.0;14.0;14.0;14.0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
6;12;14;116;24;11;4;13;0;12;8;2;1;0;1;1;23;0;0;0;0;2.0;0.0;0.0;0.0;4.0;14.0;14.0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
6;13;14;116;24;11;4;13;0;13;10;0;2;0;0;0;69;0;0;0;0;0.0;0.0;0.0;0.0;14.0;14.0;14.0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
6;14;14;116;24;11;4;13;0;14;8;2;1;0;1;1;18;0;0;0;0;0.0;0.0;0.0;0.0;14.0;14.0;14.0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
6;15;14;116;24;11;4;13;0;15;10;0;1;0;0;0;36;0;0;0;0;0.0;0.0;0.0;0.0;14.0;14.0;14.0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
6;16;14;116;24;11;4;13;0;16;8;2;1;0;1;1;105;0;0;0;0;0.0;12.0;0.0;0.0;14.0;2.0;14.0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
6;17;14;116;24;11;4;13;0;17;10;0;2;0;0;0;41;0;0;0;0;6.0;0.0;0.0;0.0;1.0;14.0;14.0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
6;18;14;116;24;11;4;13;0;18;10;0;0;0;0;0;218;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
6;19;14;116;24;11;4;13;0;19;0;10;0;0;4;4;18;0;0;0;0;0.0;8.0;0.0;0.0;14.0;2.0;14.0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
