min;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation
5;82;29;294;1;1;0;0;0;0;0;0;0;0;0;0;7;23;2;0;0
6;2;10;0;4;0;0;0;174.53125;0;0;6;0;0;0;0;0;32;32;32;32
6;3;0;10;1;0;3;3;63.53125;9;0;1;0;20;52;0;0.833333333333333;2;9;34;5
6;4;8;2;0;0;1;1;104.53125;0;0;0;0;0;0;0;0;34;34;34;34
6;5;10;1;0;0;1;1;222.46875;0;0;0;0;0;0;0;1;34;34;34;7
6;6;8;5;0;0;2;2;67.53125;0;0;0;0;0;30;0;0.666666666666666;34;32;34;9
6;7;10;9;2;0;2;2;26.25;0;0;0;0;15;75;0;0;32;34;34;33
6;8;8;4;0;0;2;2;107.875;0;0;0;0;0;70;0;0;34;32;34;33
6;9;4;8;1;0;2;2;24.6875;0;0;0;0;5;0;0;0;7;34;34;33
6;10;10;0;1;0;0;0;91.53125;0;0;1;0;0;0;0;0;34;34;34;33
6;11;8;2;0;0;1;1;55.53125;0;0;0;0;0;0;0;0.222222222222222;34;34;34;9
6;12;7;6;0;0;2;2;25.90625;0;0;0;0;0;24;0;1;34;34;34;33
6;13;2;9;1;0;6;4;31.4375;0;0;0;0;0;240;0;0;34;2;34;33
6;14;1;9;1;0;2;2;77.53125;31;0;0;0;34;28;0;0.8;1;13;34;5
6;15;10;0;0;0;0;0;320.53125;0;0;0;0;0;0;0;0;0;0;0;0
6;16;3;7;1;0;2;2;35.53125;0;0;0;0;0;75;0;2.5;34;8;34;3
6;17;5;10;0;0;5;5;14.65625;0;0;0;0;0;151;0;0.5;34;5;34;33
6;18;8;10;1;0;8;6;12.34375;6;0;0;0;0;72;0;0.4;34;23;34;33
6;19;6;4;2;0;2;1;67.28125;0;0;0;0;8;88;0;4;34;13;34;1
6;20;8;7;1;0;7;3;28.09375;0;0;0;0;0;8;14.4722222222222;0;34;34;1;33
