IDBuyer;Day;Hour;Seller;Buyer;Prod;QualID;FinPrice;TransPrice;StdPrice;ProdPrice;Age;r;Qty;Quality;QualAdmId;IDAdmin;AdminPrice;Hour;supply;NewOffer;margBuyer;margSeller;VmargBuyer;VmargSeller;dem2;sup2;sup/dem;qty/dem;qty/off;BuyType;TypeXP;Idbuyer;dertrans
10064;1;259;11;64;0;4;32;30,21;32,1;18,03;0;Qty;9;0,696963;2;10200;46,1878;260;372;372;0,059251903;0,675540765;0,53326713;6,079866889;70;377;5,4;0,128571429;0,023872679;R;XP4;10264;260
10061;1;262;11;61;0;4;32;30,21;32,1;18,03;0;Qty;8;0,696963;2;10200;46,1878;260;372;372;0,059251903;0,675540765;0,474015227;5,404326123;70;377;5,4;0,114285714;0,021220159;R;XP4;10261;260
10056;1;265;3;56;0;3;36;32,02;32,02;17,87;0;Qty;4;0,848193;2;10200;46,1878;270;372;372;0,124297314;0,791829882;0,497189257;3,16731953;70;377;5,4;0,057142857;0,01061008;R;XP4;10256;270
20057;2;12;4;57;2;3;36;33,34;37,41;19,63;0;Qty;10;0,861651;2;22200;32,1587;10;608;420;0,079784043;0,698420785;0,797840432;6,984207845;70;399;5,7;0,142857143;0,025062657;R;XP4;22257;90
20053;2;15;6;53;2;2;32;25,11;25,11;18,08;0;Qty;10;0,765159;2;22200;32,1587;20;608;420;0,274392672;0,388827434;2,743926722;3,888274336;70;399;5,7;0,142857143;0,025062657;N;XP4;22253;30
20048;2;16;19;48;1;1;32;23,28;23,45;16,1;0;Qty;10;0,646833;1;21100;30,8071;20;383;134;0,374570447;0,445962733;3,745704467;4,459627329;230;348;1,5;0,043478261;0,028735632;N;XP4;21148;90
20063;2;17;3;63;0;1;28;24,04;24,13;17,87;1;Qty;10;0,448193;1;20100;30,4067;20;389;112;0,164725458;0,345271405;1,647254576;3,452714046;230;281;1,2;0,043478261;0,035587189;R;XP4;20163;110
20052;2;19;6;52;2;2;32;25,11;25,11;18,08;0;Qty;9;0,765159;2;22200;32,1587;20;608;420;0,274392672;0,388827434;2,46953405;3,499446903;70;399;5,7;0,128571429;0,022556391;N;XP4;22252;20
20048;2;22;20;48;0;4;32;25,69;25,95;19,85;0;Qty;9;0,978325;2;20200;32,0579;20;377;377;0,245620864;0,294206549;2,210587777;2,647858942;70;363;5,2;0,128571429;0,024793388;N;XP4;20248;90
20053;2;23;1;53;0;4;32;28,4;28,4;17,21;0;Qty;10;0,671256;2;20200;32,0579;20;377;377;0,126760563;0,65020337;1,267605634;6,502033701;70;363;5,2;0,142857143;0,027548209;N;XP4;20253;30
20048;2;23;19;48;2;1;36;24,33;24,58;17,01;0;Qty;10;0,807103;2;22200;32,1587;20;608;420;0,479654747;0,430335097;4,796547472;4,30335097;70;399;5,7;0,142857143;0,025062657;N;XP4;22248;90
20053;2;26;15;53;1;2;36;34,22;38,16;18,62;0;Qty;10;0,873761;2;21200;34,1433;30;201;184;0,052016365;0,837808808;0,520163647;8,378088077;50;324;6,5;0,2;0,030864198;N;XP4;21253;30
20047;2;27;19;47;2;1;32;24,33;24,58;17,01;0;Qty;7;0,807103;2;22200;32,1587;30;608;420;0,315248664;0,430335097;2,206740649;3,012345679;70;399;5,7;0,1;0,01754386;N;XP4;22247;50
20047;2;31;4;47;0;2;32;24,09;24,09;17,79;0;Qty;10;0,616726;1;20100;30,4067;30;389;112;0,328352013;0,354131535;3,283520133;3,541315346;230;281;1,2;0,043478261;0,035587189;N;XP4;20147;50
20055;2;35;1;55;0;4;32;30,16;28,4;17,21;0;Qty;3;0,671256;2;20200;32,0579;40;377;377;0,061007958;0,752469494;0,183023873;2,257408483;70;363;5,2;0,042857143;0,008264463;R;XP4;20255;150
20023;2;35;4;23;0;1;20;15,9;15,9;15,19;1;Qty;10;0,270492;0;20000;16,61;40;271;0;0,257861635;0,046741277;2,578616352;0,467412772;201;148;0,7;0,049751244;0,067567568;B;XP4;20023;40
20050;2;38;14;50;1;4;28;26,27;26,27;18,4;1;Qty;10;0,733233;2;21200;34,1433;40;201;184;0,065854587;0,427717391;0,65854587;4,277173913;50;324;6,5;0,2;0,030864198;N;XP4;21250;40
20065;2;52;1;65;2;2;28;22,44;22,44;14,7;0;Qty;9;0,43415;1;22100;30,1946;50;528;184;0,247771836;0,526530612;2,229946524;4,73877551;230;1055;4,6;0,039130435;0,008530806;R;XP4;22165;230
20049;2;52;2;49;2;4;36;26,39;26,41;20,68;0;Qty;10;0,841147;2;22200;32,1587;50;608;420;0,364153088;0,276112186;3,641530883;2,761121857;70;399;5,7;0,142857143;0,025062657;N;XP4;22249;130
20047;2;53;4;47;2;2;32;23,78;23,78;17,37;0;Qty;3;0,602588;1;22100;30,1946;50;528;184;0,345668629;0,369027058;1,037005887;1,107081174;230;1055;4,6;0,013043478;0,002843602;N;XP4;22147;50
20066;2;59;3;66;0;2;32;24,71;24,71;17,37;0;Qty;10;0,700581;2;20200;32,0579;60;377;377;0,295022258;0,422567645;2,950222582;4,225676454;70;363;5,2;0,142857143;0,027548209;R;XP4;20266;230
