D;0;H;76;AgId;Money;Margin;MarginRate;NewMoney;NewMargin;NewMarginRate;m_pNbPerceivedQuality;m_pTypeAgent;m_pCurrentSeller;m_pLastListenTime;m_pLeaveAfterTime;m_pArrivalTime;m_pFinishedTime;m_pElapsedTime;m_pTotalTime;m_pMakeTrustAgreements;m_pMaxQueueLength;m_pAveragePriceMarket;m_nNbUsualSellerPerProduct;m_pSpeed;m_pNegociationPart;m_pNegotiationEvolutionSpeed;m_pProbaVisitOtherSeller;m_pCompetitorImpact;m_pRigidityFactor;m_pNbNegOtherProductsUsualSeller;m_pNbNegOtherProducts;m_pNegociationPart;m_pMinimumMargin;m_pMinNbOfVisitedSellerBeforeBuy;m_pProbChangeProductResto;m_pMarketTour;m_pMarketTourNext;m_pTotalBoughtQuantity;GraphNbVisitToday;GraphBoughtToday;m_pBoughtQuantity;m_pBasicPrice;m_pPowerQual;m_pPrixQual;m_pMinimumQuality;m_pNeededQuantity;m_pTrustAgreementQuality;m_pMarketToursToday;m_pHasTrustAgreement;m_pToNegEverywhere;m_pTrustAgreementPrice;m_pIsInPrefferedList;m_pDayOfLastTransaction;m_pNbVisitToday;m_pNbVisitTodaySup0;m_pVisitedSellers;
D;1;H;16;72;-299.62;20.38;0.0680195;299.62;20.38;0.0680195;5;BuyerNeuilly;00000000;6.33333;0.2;5.27336;6.35;1.07664;2.5;0;8;10;3;0.75;0.113014;0.044848;0.00594053;5;0.785619;0.01;1;0.113014;0.05;1;0.01;0;0;10;[[72:2:1]:[72:5:1]:[72:6:1]:[72:7:1]:[72:8:1]:[72:9:1]:[72:11:1]:[72:12:1]:[72:13:1]:[72:14:1]:[72:16:1]:[72:17:1]:[72:18:1]:[72:19:1]:[72:20:1]:];[[72:8:8]:[72:13:2]:];5;2;1;20;0.6;5;0;1.5;0;0.5;0;0.15;-5.95;0.75;1;15;
D;1;H;20;69;-596.1;83.9;0.140748;596.1;83.9;0.140748;5;BuyerNeuilly;00000000;6.1;0.2;5.3356;6.1;0.764405;2.5;0;8;10;3;0.75;0.105098;0.0180186;0.0731502;5;0.774098;0.01;1;0.105098;0.05;1;0.01;0;0;20;[[69:1:2]:[69:2:1]:[69:3:1]:[69:4:1]:[69:7:1]:[69:13:1]:[69:14:1]:[69:20:1]:];[[69:1:20]:];10;2;1;20;0.7;0;0;1;0;0;0;0.1;-6;0.45;1.125;8;
D;1;H;20;87;-651.4;28.6;0.0439054;651.4;28.6;0.0439054;5;BuyerResto;00000000;5.56667;0.2;5.33352;5.56667;0.233149;2.5;1;8;10;1;0.75;0.0493036;0.0421922;0.0968861;5;0.537122;0.01;1;0.0493036;-0.95;1;0.01;1;11;20;[[87:6:1]:[87:7:1]:[87:11:1]:];[[87:6:10]:[87:11:10]:];10;2;1;20;0.7;0;0;0.5;0;0.5;0;0.1;-6;0.15;1;3;
D;1;H;23;108;-502.4;17.6;0.0350318;502.4;17.6;0.0350318;5;BuyerResto;00000000;5.86667;0.2;5.38636;5.86667;0.480302;2.5;1;8;10;1;0.75;0.0403171;0.0875534;0.0437141;5;0.655976;0.01;1;0.0403171;-0.95;1;0.01;1;17;20;[[108:1:1]:[108:2:1]:[108:6:1]:[108:13:1]:[108:14:1]:[108:15:1]:[108:17:1]:[108:18:1]:];[[108:13:10]:[108:17:10]:];10;2;1;20;0.3;0;0;0.5;0;0.5;0;0.1;-6;0.4;1;8;
D;1;H;26;51;-257.5;142.5;0.553398;257.5;142.5;0.553398;5;BuyerBarbes;00000000;6.08333;0.2;5.4428;6.08333;0.640534;2.5;0;8;10;3;0.75;0.0613814;0.0765581;0.0569522;5;0.587888;0.01;1;0.0613814;0.05;1;0.01;1;14;20;[[51:2:1]:[51:4:1]:[51:5:1]:[51:7:1]:[51:8:1]:[51:9:1]:[51:14:1]:[51:16:1]:[51:17:1]:[51:18:1]:[51:19:1]:[51:20:1]:];[[51:14:10]:[51:17:10]:];10;2;1;20;0;0;0;0.5;0;0.5;0;0.1;-6;0.6;1;12;
D;1;H;26;76;-298.22;21.78;0.0730333;298.22;21.78;0.0730333;5;BuyerNeuilly;00000000;6.33333;0.2;5.43655;6.53306;1.0965;2.5;0;8;10;3;0.75;0;0.062501;0.0917509;5;0.793742;0.01;1;0;0.05;1;0.01;0;6;10;[[76:1:1]:[76:2:1]:[76:3:1]:[76:4:1]:[76:5:1]:[76:6:1]:[76:7:1]:[76:8:1]:[76:9:1]:[76:10:1]:[76:11:1]:[76:12:1]:[76:13:1]:[76:14:1]:[76:15:1]:[76:16:2]:[76:17:1]:[76:18:1]:[76:19:1]:[76:20:1]:];[[76:1:2]:[76:5:8]:];5;2;1;20;0.6;5;0;1;0;0.5;0;0.15;-5.95;1.05;1.05;20;
D;1;H;29;91;-547.3;132.7;0.242463;547.3;132.7;0.242463;5;BuyerResto;00000000;5.78333;0.2;5.48698;5.96667;0.479689;2.5;1;8;10;1;0.75;0.0834688;0.0451936;0.0321922;5;0.527113;0.01;1;0.0834688;-0.95;1;0.01;1;6;20;[[91:2:1]:[91:4:1]:[91:6:1]:[91:7:1]:[91:8:1]:[91:15:1]:[91:16:1]:[91:17:1]:[91:18:1]:];[[91:2:10]:[91:6:10]:];10;2;1;20;0.7;0;0;0.5;0;0.5;0;0.1;-6;0.45;1;9;
D;1;H;30;46;-300.6;99.4;0.330672;300.6;99.4;0.330672;5;BuyerBarbes;00000000;5.75;0.2;5.51171;5.75;0.238285;2.5;0;8;10;3;0.75;0.108344;0.0438046;0.0873375;5;0.569833;0.01;1;0.108344;0.05;1;0.01;1;2;20;[[46:1:1]:[46:2:1]:[46:5:1]:];[[46:1:10]:[46:2:10]:];10;2;1;20;0;0;0;0.5;0;0.5;0;0.1;-6;0.15;1;3;
D;1;H;31;92;-683.35;-3.35;-0.00490232;683.35;-3.35;-0.00490232;5;BuyerResto;00000000;5.86667;0.2;5.5173;5.88333;0.366034;2.5;1;8;10;1;0.75;0.0275838;0.0568359;0.0528433;5;0.582558;0.01;1;0.0275838;-0.95;1;0.01;1;20;20;[[92:3:1]:[92:5:1]:[92:7:1]:[92:17:1]:[92:20:1]:];[[92:7:9]:[92:20:11]:];10;2;1;20;0.7;0;0;1;0;1;0;0.05;-5.95;0.25;1;5;
D;1;H;31;97;-618.7;61.3;0.0990787;618.7;61.3;0.0990787;5;BuyerResto;00000000;5.96667;0.2;5.53178;5.98333;0.451552;2.5;1;8;10;1;0.75;0.126383;0.0216235;0.0751602;5;0.522039;0.01;1;0.126383;-0.95;1;0.01;1;16;20;[[97:1:1]:[97:7:1]:[97:12:1]:[97:16:1]:[97:18:1]:[97:20:1]:];[[97:7:10]:[97:16:10]:];10;2;1;20;0.7;0;0;0.5;0;0.5;0;0.1;-6;0.3;1;6;
