Day;Seller;NbBuyer;MoyHour;SumQty;NbProd;MoyTransPrice;MoyFinPrice;MoyQualID;MoyStdPrice;MoyProdPrice;MoyAge;MoyQuality;MoyQty;MoyQualAdmId;MoyIDAdmin;MoyAdminPrice;Moysupply;MoyHour2;MoymargBuyer;MoyNewOffer;MoymargSeller;MoyVmargBuyer;MoyVmargSeller;Moydem2;Moysup2;Moysup/dem;Moyqty/dem;Moyqty/off;SumVmargBuyer;SumVmargSeller;Moydertrans
3;15;3;68.6666666666667;21;3;20.5766666666667;28;0.666666666666667;21.4666666666667;17.2466666666667;1.66666666666667;0.444400666666667;7;0.666666666666667;32066.6666666667;23.7941666666667;811.333333333333;70;0.347070703;176.666666666667;0.196755391;2.013882518;1.13935485633333;220;783.333333333333;3.56666666666667;0.0326086956666667;0.00944193066666667;6.041647554;3.418064569;93.3333333333333
3;16;6;102.166666666667;40;6;19.845;23.3333333333333;1.5;19.88;16.785;1;0.35626845;6.66666666666667;0.5;31050;22.9767;282;103.333333333333;0.170379525666667;55.5;0.182570157833333;0.794607166666667;1.23148213233333;225;225.5;1;0.0296113306666667;0.0335081583333333;4.767643;7.388892794;136.666666666667
3;17;9;157.444444444444;69;9;21.6622222222222;31.1111111111111;4.55555555555556;21.8577777777778;17.3988888888889;0.222222222222222;0.604525222222222;7.66666666666667;1.22222222222222;30122.2222222222;26.3205555555556;299.222222222222;158.888888888889;0.435996868333333;203.555555555556;0.247052646444444;3.26026058833333;1.86568964977778;194.444444444444;325.222222222222;2.26666666666667;0.0476880607777778;0.0238044252222222;29.342345295;16.791206848;170
3;18;8;132;51;8;23.815;30;5.875;23.955;16.8525;0.25;0.6573931625;6.375;1.75;31300;26.4440625;319.875;131.25;0.273486657375;233;0.42638052075;1.630649839625;2.805885472875;73;338.5;6.275;0.10874304275;0.02307933875;13.045198717;22.447083783;158.75
3;19;9;55.3333333333333;81;9;20.8344444444445;25.3333333333333;0.444444444444444;22.0644444444444;16.6344444444444;1;0.449594366666667;9;0.777777777777778;30633.3333333333;24.6167777777778;276.555555555556;56.6666666666667;0.213485510111111;133.333333333333;0.257654802555556;1.92550350322222;2.33970332711111;164.444444444444;304;2.65555555555556;0.0712739193333333;0.0372182281111111;17.329531529;21.057329944;112.222222222222
3;20;7;112.714285714286;48;7;20.8057142857143;30.8571428571429;2.71428571428571;22.1085714285714;16.14;0.714285714285714;0.596588557142857;6.85714285714286;1.42857142857143;32142.8571428571;24.8960714285714;575.714285714286;112.857142857143;0.480147772428571;273.428571428571;0.295795322571429;3.02746179557143;2.03229905342857;134.285714285714;587.714285714286;5.12857142857143;0.0704968944285714;0.0129487692857143;21.192232569;14.226093374;131.428571428571
4;2;11;110.363636363636;77;11;19.5254545454545;22.1818181818182;0.636363636363636;19.8227272727273;16.6472727272727;2.45454545454545;0.198902736363636;7;0.272727272727273;42027.2727272727;21.6572818181818;649.181818181818;112.727272727273;0.136088854727273;59.2727272727273;0.179336588454545;0.883148879818182;1.47192940590909;190.636363636364;581.727272727273;3.3;0.0432252989090909;0.0122709579090909;9.714637678;16.191223465;150
4;3;7;106.285714285714;54;7;22.0185714285714;30.2857142857143;2;24.8614285714286;16.3871428571429;0;0.646293285714286;7.71428571428571;1.57142857142857;40442.8571428571;24.6148428571429;340.428571428571;107.142857142857;0.381477326285714;259.571428571429;0.343090873571429;2.81442415414286;2.77119027214286;132.857142857143;334.714285714286;4.31428571428571;0.0887666371428571;0.0236501314285714;19.700969079;19.398331905;131.428571428571
4;4;10;101.2;80;10;21.392;26.4;1.2;22.385;17.81;0.8;0.4539542;8;0.7;41270;23.14104;516;101;0.2361325101;145.3;0.2009401473;1.6427971702;1.7457488498;182.4;462.8;3.04;0.052025474;0.0237105903;16.427971702;17.457488498;147
4;5;10;78.7;80;10;22.908;28.8;0.4;23.244;18.444;1;0.5615963;8;1.3;41330;23.86332;605.3;79;0.2551159348;278.2;0.242733165;1.8431013353;2.0144325738;180.5;535.6;3.62;0.0558820149;0.017640256;18.431013353;20.144325738;134
4;6;3;78.3333333333333;22;3;18.71;24;0.666666666666667;18.92;14.61;0.333333333333333;0.365956033333333;7.33333333333333;0.666666666666667;40066.6666666667;23.2431333333333;273.333333333333;76.6666666666667;0.283896039333333;112.666666666667;0.280645793333333;1.480469829;2.07101547266667;220;231;1.06666666666667;0.034057971;0.0355442373333333;4.441409487;6.213046418;113.333333333333
4;7;17;145.294117647059;144;17;22.5717647058824;28.7058823529412;2.52941176470588;24.7517647058824;18.7635294117647;0.823529411764706;0.66221;8.47058823529412;1.58823529411765;41217.6470588235;24.9009470588235;340.176470588235;145.882352941176;0.291821767235294;234.058823529412;0.199938595117647;2.51396590576471;1.47150039164706;125.294117647059;378.647058823529;5.11176470588235;0.106203872882353;0.0225263166470588;42.737420398;25.015506658;157.647058823529
