IDBuyer;run;r;Day;r;Hour;r;r;Seller;r;Buyer;r;Prod;Qte/dem;QualID;r;FinPrice;r;TransPrice;r;StdPrice;suply/demand;ProdPrice;sup2/dem2;Age;r;Qty;margStdPr;Quality;QualAdmId;IDAdmin;AdminPrice;Hour;supply;NewOffer;margBuyer;margSeller;VmargBuyer;VmargSeller;dem2;sup2;sup/dem;qty/dem;qty/off;BuyType;TypeXP;Idbuyer;dertrans
10022;;D;1;H;146;Trans;From;9;To;22;Pr;0;Qual;0;FinPrice;24;Price;17,03;StdPrice;17,03;BuyPrice;17,03;Age;1;Qty;9;Qual;0,317122;0;10000;0;150;0;0;0,409277745;0;3,683499706;0;200;271;1,4;0,045;0,033210332;B;XP4;10022;180
10045;;D;1;H;150;Trans;From;17;To;45;Pr;0;Qual;6;FinPrice;36;Price;31,6;StdPrice;31,6;BuyPrice;17,02;Age;0;Qty;10;Qual;0,811664;2;10200;46,1878;150;372;372;0,139240506;0,856639248;1,392405063;8,566392479;70;377;5,4;0,142857143;0,026525199;N;XP4;10245;150
10026;;D;1;H;152;Trans;From;16;To;26;Pr;1;Qual;1;FinPrice;24;Price;16,23;StdPrice;16,23;BuyPrice;16,23;Age;1;Qty;1;Qual;0,249344;0;11000;0;150;0;0;0,478743068;0;0,478743068;0;220;101;0,5;0,004545455;0,00990099;B;XP4;11026;180
10051;;D;1;H;156;Trans;From;11;To;51;Pr;0;Qual;3;FinPrice;32;Price;30,21;StdPrice;30,21;BuyPrice;17,27;Age;0;Qty;10;Qual;0,654675;1;10100;43,1556;160;176;176;0,059251903;0,749276202;0,592519033;7,492762015;230;389;1,7;0,043478261;0,025706941;N;XP4;10151;160
10066;;D;1;H;157;Trans;From;13;To;66;Pr;0;Qual;1;FinPrice;32;Price;29,93;StdPrice;32,41;BuyPrice;18,65;Age;0;Qty;10;Qual;0,689482;2;10200;46,1878;160;372;372;0,069161377;0,604825737;0,691613765;6,048257373;70;377;5,4;0,142857143;0,026525199;R;XP4;10266;260
10050;;D;1;H;158;Trans;From;13;To;50;Pr;0;Qual;1;FinPrice;32;Price;29,93;StdPrice;32,41;BuyPrice;18,65;Age;0;Qty;1;Qual;0,689482;2;10200;46,1878;160;372;372;0,069161377;0,604825737;0,069161377;0,604825737;70;377;5,4;0,014285714;0,00265252;N;XP4;10250;160
10036;;D;1;H;162;Trans;From;10;To;36;Pr;1;Qual;1;FinPrice;20;Price;15,62;StdPrice;15,62;BuyPrice;15,62;Age;1;Qty;2;Qual;0,247455;0;11000;0;160;0;0;0,280409731;0;0,560819462;0;220;101;0,5;0,009090909;0,01980198;B;XP4;11036;160
10062;;D;1;H;163;Trans;From;17;To;62;Pr;0;Qual;6;FinPrice;36;Price;31,6;StdPrice;31,6;BuyPrice;17,02;Age;0;Qty;10;Qual;0,811664;2;10200;46,1878;160;372;372;0,139240506;0,856639248;1,392405063;8,566392479;70;377;5,4;0,142857143;0,026525199;R;XP4;10262;230
10055;;D;1;H;164;Trans;From;13;To;55;Pr;0;Qual;1;FinPrice;32;Price;29,93;StdPrice;32,49;BuyPrice;18,81;Age;0;Qty;10;Qual;0,9999;2;10200;46,1878;160;372;372;0,069161377;0,591174907;0,691613765;5,91174907;70;377;5,4;0,142857143;0,026525199;R;XP4;10255;260
10040;;D;1;H;164;Trans;From;19;To;40;Pr;0;Qual;0;FinPrice;20;Price;15,35;StdPrice;15,35;BuyPrice;15,35;Age;1;Qty;3;Qual;0,130394;0;10000;0;160;0;0;0,302931596;0;0,908794788;0;200;271;1,4;0,015;0,011070111;B;XP4;10040;160
